back_angle_R,back_angle_L,knee_angle_R,knee_angle_L,ankle_knee_knee_R,ankle_knee_knee_L,hip_hip_knee_R,hip_hip_knee_L,is_stand,is_back_front,is_knee_narrow,is_knee_wide
142.8941141,124.8096501,102.8724899,84.19149727,94.62783564,83.40318827,110.6264238,96.3344227,1,0,0,0
137.7741947,122.1004816,96.71702175,82.98672468,93.12877655,84.30051904,111.1461712,95.71787924,1,0,0,0
127.303548,120.9050963,80.96811944,82.45600524,83.58207014,90.47060618,111.2101594,96.97777175,1,0,0,0
123.3456895,117.9320291,76.62470995,75.37143854,84.04340501,88.81596096,110.4679659,97.58824961,1,0,0,0
117.8073742,116.4281373,72.05740511,75.42016134,79.27324955,92.28180634,108.6473088,101.6800841,1,0,0,0
114.5352007,114.5210136,73.4933256,78.88985866,79.09179731,90.42804423,108.3993986,104.0719956,1,0,0,0
110.9601941,110.3809848,72.25900353,77.56145799,80.22356872,85.68027595,108.033885,105.1956628,1,0,0,0
105.0594582,105.850917,70.28654944,69.81406639,81.9234802,83.41716004,107.8783531,103.6426762,1,0,0,0
93.77353893,94.22431964,69.00637875,66.99492419,81.92386736,81.76862351,108.5886464,104.572356,1,0,0,0
83.26563495,85.39047203,64.49987508,61.06879046,83.61831761,80.92499497,108.6392289,104.4607369,1,0,0,0
