back_angle_R,back_angle_L,knee_angle_R,knee_angle_L,ankle_knee_knee_R,ankle_knee_knee_L,hip_hip_knee_R,hip_hip_knee_L,knee_knee_dis
157.2,155.5,161.1,169.2,81.6,91.3,100.9,101.8,1.4
157.9,155.5,161.4,169.4,81.3,91.9,100.3,101.9,1.4
158.4,155.8,161.7,170.1,81.5,92.3,99.9,102.0,1.4
159.3,155.9,162.5,170.9,81.6,93.0,99.2,102.0,1.4
160.2,156.2,163.6,171.8,82.1,93.4,98.4,101.7,1.4
160.9,156.3,164.7,172.3,82.6,93.7,97.7,101.6,1.4
162.1,156.1,166.2,172.5,83.1,93.9,96.7,101.6,1.3
163.2,156.0,168.2,173.0,84.1,94.3,95.6,101.5,1.3
164.0,155.7,169.6,173.5,84.9,94.6,95.2,101.2,1.3
164.5,155.8,171.4,174.5,86.5,95.1,95.2,100.5,1.3
165.3,156.4,173.3,176.7,88.1,95.9,94.6,99.4,1.3
165.6,156.5,174.9,178.0,89.2,96.8,94.7,98.4,1.2
165.6,156.7,176.0,179.0,90.4,97.4,95.0,97.8,1.2
165.4,157.3,176.3,179.9,90.4,98.3,95.2,97.1,1.2
164.8,157.5,176.3,179.3,90.6,98.7,95.4,96.9,1.2
164.6,157.7,176.7,179.2,90.8,98.6,95.3,96.6,1.2
164.5,157.5,177.3,179.9,91.5,97.4,95.2,96.6,1.2
164.2,157.8,177.5,179.3,92.2,97.2,95.2,96.0,1.2
163.6,157.8,177.8,179.1,92.6,96.9,95.1,95.8,1.2
163.0,158.0,177.8,179.0,92.8,94.6,95.2,95.6,1.2
162.5,158.2,177.8,177.7,92.9,93.1,95.2,95.3,1.2
162.1,158.5,178.0,177.1,93.0,92.3,95.1,95.1,1.2
161.8,158.7,178.1,177.0,92.9,92.1,95.0,94.9,1.2
161.5,158.9,178.1,177.3,92.7,92.5,95.0,94.7,1.2
161.5,159.3,178.2,177.7,92.6,92.7,94.8,94.5,1.2
161.6,159.3,178.3,177.3,92.2,92.5,94.6,94.5,1.2
162.2,159.2,178.4,176.8,91.8,92.2,94.2,94.7,1.2
162.6,159.2,178.8,175.8,91.8,91.4,93.7,94.9,1.2
163.1,159.1,179.2,175.4,91.7,91.1,92.9,95.3,1.2
163.4,159.1,179.4,175.3,91.5,91.2,92.5,95.4,1.2
163.8,159.4,179.9,175.2,91.7,91.0,92.1,95.4,1.1
163.9,159.4,179.8,174.9,91.7,90.8,91.9,95.5,1.1
163.7,159.1,179.9,174.1,91.6,90.3,92.0,95.8,1.1
163.6,158.8,179.7,173.5,91.4,90.0,92.1,96.1,1.2
163.5,158.5,179.4,172.8,91.0,89.7,92.2,96.3,1.2
163.5,158.3,178.9,172.3,90.6,89.4,92.2,96.5,1.2
163.6,158.2,178.8,172.1,90.5,89.3,92.1,96.7,1.2
163.8,158.1,178.6,172.2,90.1,89.3,92.0,96.6,1.2
164.2,158.1,178.8,172.4,90.0,89.6,91.7,96.6,1.2
164.4,158.0,178.8,172.7,89.9,89.7,91.6,96.6,1.2
