right_shoulder_x,right_shoulder_y,right_shoulder_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_hip_x,right_hip_y,right_hip_z,left_hip_x,left_hip_y,left_hip_z,right_knee_x,right_knee_y,right_knee_z,left_knee_x,left_knee_y,left_knee_z,right_ankel_x,right_ankel_y,right_ankel_z,left_ankel_x,left_ankel_y,left_ankel_z,is_stand,is_back_front,is_knee_narrow,is_knee_wide
-1.486191135,-1.943346288,-0.0939305627,0.231757052,-1.92782766,-0.185281429,-0.996728083,0.0150084988,0.0794221226,0,0,0,-1.18694658,1.419215271,-0.234667264,0.14225817,1.471073301,-0.261522795,-1.201700165,2.778318019,1.859802299,0.14964644,2.786234842,1.769108736,1,0,0,0
-1.483495141,-1.944143236,-0.0826638388,0.234291751,-1.929317589,-0.176145685,-0.996783145,0.0149168731,0.0787454627,0,0,0,-1.187283353,1.418923223,-0.234134681,0.141450211,1.471296303,-0.264202306,-1.203121845,2.778232721,1.87244538,0.147878283,2.787012719,1.776548391,1,0,0,0
-1.48375891,-1.946141182,-0.0796133947,0.235523306,-1.932217648,-0.173303406,-0.996760555,0.0149158693,0.0790310932,0,0,0,-1.189313506,1.419734842,-0.233971861,0.139988814,1.472564449,-0.264185041,-1.206555407,2.780715091,1.880110953,0.146162941,2.790527781,1.77926783,1,0,0,0
-1.483537369,-1.948049552,-0.08103881,0.237818501,-1.934467783,-0.173810168,-0.996744379,0.0149444551,0.0792294561,0,0,0,-1.190033039,1.420974259,-0.231692715,0.139053882,1.474340223,-0.261863797,-1.208806512,2.78300592,1.899905986,0.145653967,2.794211236,1.787789133,1,0,0,0
-1.483570637,-1.947649248,-0.112634789,0.238726756,-1.934441945,-0.178690428,-0.997145767,0.0150112552,0.0739931133,0,0,0,-1.190534116,1.420621383,-0.233687774,0.137233488,1.473963676,-0.254627352,-1.210287137,2.782093823,1.9124878,0.14429743,2.793492938,1.809213571,1,0,0,0
-1.482981038,-1.948205284,-0.127508556,0.24067353,-1.935821463,-0.18215023,-0.9974202,0.0147393011,0.0702545258,0,0,0,-1.19188438,1.419702629,-0.234746576,0.13722184,1.474227876,-0.249507646,-1.211422094,2.7828344,1.912675533,0.142817013,2.794320693,1.810706761,1,0,0,0
-1.483083304,-1.948499233,-0.145112003,0.242298874,-1.936528944,-0.192628934,-0.997515647,0.0145332115,0.0689298222,0,0,0,-1.193036729,1.419754102,-0.235460566,0.138984881,1.474226409,-0.25220053,-1.211742217,2.783129972,1.92167844,0.141140773,2.794470501,1.82751292,1,0,0,0
-1.484165116,-1.947678414,-0.178854113,0.243248592,-1.936062431,-0.200384885,-0.997913292,0.0136983594,0.0630984704,0,0,0,-1.193846907,1.419557012,-0.241394118,0.139229644,1.474130201,-0.253885574,-1.212958898,2.782708658,1.918424451,0.138216743,2.794118613,1.828027169,1,0,0,0
-1.487439609,-1.948892247,-0.231190851,0.243887221,-1.937409645,-0.207181121,-0.998481374,0.0138407953,0.0533233395,0,0,0,-1.196617212,1.422423736,-0.258390239,0.141252326,1.477181087,-0.258905554,-1.215549101,2.787559568,1.89863427,0.136009472,2.799107902,1.824754951,1,0,0,0
-1.489652043,-1.949771665,-0.238948885,0.243583363,-1.938346401,-0.208984809,-0.998742161,0.0135965967,0.0482620719,0,0,0,-1.199737201,1.423303015,-0.274903052,0.140787515,1.478113727,-0.262522469,-1.217692225,2.790144693,1.882925203,0.132641075,2.800882549,1.821029622,1,0,0,0
-1.486070582,-1.95061131,-0.235700752,0.24640393,-1.939237688,-0.208956637,-0.998757138,0.0124309642,0.0482664563,0,0,0,-1.199424908,1.423923948,-0.276482367,0.141892985,1.474888597,-0.279368906,-1.215804149,2.791447658,1.885199205,0.132563394,2.802209071,1.818259512,1,0,0,0
-1.483352707,-1.951297468,-0.237657106,0.248993582,-1.939938516,-0.214304479,-0.998735956,0.0113352909,0.0489693874,0,0,0,-1.198869909,1.424594415,-0.275617613,0.144249524,1.474072559,-0.282151377,-1.213459151,2.792779923,1.884335921,0.132513822,2.803450288,1.801970934,1,0,0,0
-1.482263301,-1.952232407,-0.252658776,0.250787706,-1.940687246,-0.217602951,-0.99890391,0.0102275608,0.0456768508,0,0,0,-1.199245849,1.424620057,-0.275661056,0.146610214,1.47415768,-0.276536382,-1.212006321,2.794713764,1.882596595,0.132661443,2.805533804,1.797756496,1,0,0,0
-1.481592597,-1.95228275,-0.274957218,0.252331941,-1.94042073,-0.220279324,-0.998971194,0.00916387049,0.0444137033,0,0,0,-1.199460162,1.425764646,-0.276169256,0.147643375,1.47388863,-0.27687968,-1.210867936,2.79679627,1.881466746,0.133001829,2.80761741,1.790355009,1,0,0,0
-1.481705472,-1.952833603,-0.29107334,0.25335983,-1.940848537,-0.222063487,-0.999108462,0.00888975462,0.0412704807,0,0,0,-1.199821865,1.426941727,-0.277349022,0.148596228,1.474127913,-0.274635402,-1.210955022,2.799077479,1.878439392,0.133250312,2.809901348,1.786406278,1,0,0,0
-1.481430756,-1.953008854,-0.303618991,0.253952854,-1.940881921,-0.220569358,-0.999173394,0.00898692093,0.0396454759,0,0,0,-1.200135997,1.42827121,-0.278946181,0.148847701,1.473938919,-0.278166858,-1.210974525,2.800813662,1.87214426,0.133327877,2.811481983,1.776518868,1,0,0,0
-1.481879116,-1.953293585,-0.351825408,0.254429055,-1.940906548,-0.225186895,-0.999464425,0.00930624376,0.0313728807,0,0,0,-1.200873437,1.430277819,-0.286029181,0.149441852,1.475822455,-0.282252512,-1.211372157,2.803050352,1.867615267,0.133194245,2.814189256,1.774384192,1,0,0,0
-1.481701769,-1.953765495,-0.383550031,0.254877297,-1.941298717,-0.23103237,-0.999635173,0.00943823228,0.0253069488,0,0,0,-1.201179946,1.430938719,-0.28989467,0.150197006,1.476479772,-0.282861496,-1.211070255,2.804018981,1.86497533,0.133295561,2.815000235,1.779391001,1,0,0,0
-1.481109916,-1.954161667,-0.40086248,0.255310057,-1.941204163,-0.233226804,-0.999733036,0.0094284526,0.0210940876,0,0,0,-1.201336576,1.431305194,-0.291981668,0.150293539,1.477001514,-0.284129715,-1.211067788,2.804647891,1.866793866,0.133352996,2.815444392,1.794662218,1,0,0,0
-1.48054225,-1.953952091,-0.403480958,0.255824809,-1.940604136,-0.234541418,-0.999756603,0.00922827625,0.0200393017,0,0,0,-1.201342468,1.431176388,-0.290635724,0.150213869,1.478256176,-0.282471067,-1.211065811,2.804938341,1.881907149,0.133341411,2.815730628,1.809199024,1,0,0,0
-1.479853975,-1.953686797,-0.405118521,0.256534834,-1.939687437,-0.248881899,-0.999754151,0.00872639909,0.0203834933,0,0,0,-1.201158712,1.430606719,-0.286201613,0.150016172,1.478656682,-0.280856674,-1.21104711,2.80495859,1.899816412,0.133243716,2.815625,1.8277509,1,0,0,0
-1.479489822,-1.95315543,-0.425374002,0.256660201,-1.938754309,-0.263417185,-0.999756421,0.00872815513,0.0202711086,0,0,0,-1.201228243,1.430246346,-0.279138069,0.149511405,1.478750359,-0.270569723,-1.211016771,2.804159681,1.918276713,0.13290315,2.814574213,1.858979767,1,0,0,0
-1.479276711,-1.953986893,-0.427875439,0.257117232,-1.939335485,-0.265718225,-0.999768897,0.00858494957,0.0197091803,0,0,0,-1.201273733,1.431933579,-0.269185731,0.14925124,1.479166008,-0.267401559,-1.210507694,2.803068757,1.978575255,0.134117179,2.811892752,1.930953997,1,0,0,0
-1.479133624,-1.954659221,-0.421870951,0.257691485,-1.938921062,-0.286317917,-0.999671587,0.00792214727,0.0243712682,0,0,0,-1.200996309,1.433065654,-0.241463453,0.149019087,1.479046952,-0.238637652,-1.209974337,2.802915309,1.978583007,0.136206193,2.810977956,1.923087833,1,0,0,0
-1.478961382,-1.955098173,-0.425156518,0.258568414,-1.938740974,-0.314045899,-0.999576567,0.00742231827,0.028135301,0,0,0,-1.200868635,1.432969648,-0.218636719,0.148847769,1.478735137,-0.218678513,-1.209494556,2.802709707,1.990631475,0.137483789,2.810272516,1.919504878,1,0,0,0
-1.478558183,-1.955682664,-0.423456509,0.259247295,-1.93805999,-0.311995108,-0.999582957,0.0068873157,0.0280442069,0,0,0,-1.20028746,1.433616107,-0.218483596,0.148139922,1.47873514,-0.214464031,-1.208823329,2.802369462,1.998576435,0.139025144,2.809177117,1.931598567,1,0,0,0
