back_angle_R,back_angle_L,knee_angle_R,knee_angle_L,ankle_knee_knee_R,ankle_knee_knee_L,hip_hip_knee_R,hip_hip_knee_L,label
116.3659319,130.9878656,69.57884267,77.32316554,75.7827604,100.2228739,108.1803422,100.6985878,1
120.3859722,130.2722362,74.08970894,76.95307229,79.90526204,96.182738,107.7314406,100.2925623,1
126.2107335,135.8167096,76.83598668,78.97845247,80.26433971,95.63440282,107.3759259,100.0741691,1
131.6032917,140.115148,80.46759226,82.32275196,80.74345671,95.3556804,106.9260255,100.2969764,1
135.0694224,140.4980172,87.26666171,85.39330549,83.42660659,92.76334865,106.6240326,100.6335347,1
139.7708855,141.6625045,93.46940183,87.97937046,86.38966608,90.15142563,106.0033665,100.6409557,1
139.808029,143.5042201,93.00418622,91.14047091,84.21038794,92.56319411,105.3232712,101.0029022,1
144.7955941,148.0491495,101.8807643,99.34671216,84.92404432,91.86196806,104.0364854,102.5597299,1
145.7320956,147.5444668,105.7579383,100.2019473,87.34075614,89.39615845,103.2052467,102.7723787,1
150.3599047,150.3131686,116.6446909,110.6681068,87.08824511,89.58918808,102.6050413,103.792432,1
152.8461628,151.4231016,123.4334014,114.7989368,88.45765091,88.32296347,102.0623197,103.900347,1
154.60648,153.2435601,130.6500964,122.4759573,88.43856281,88.29524092,101.5888836,104.3155442,1
154.9191612,153.8574227,131.3880322,124.2626525,88.2614714,88.5490544,101.6238999,104.2881034,0
154.8768222,153.6696134,128.8124477,122.1311388,89.21729245,87.87836178,101.8732369,103.9359661,0
154.8537113,153.149873,126.0728299,120.0413822,89.35288777,88.04804055,101.7934421,103.7053813,0
154.2595619,150.6668164,119.4037214,116.790969,88.78544341,88.9800449,101.80228,103.6014634,0
152.3077514,147.4105207,114.6278012,113.4657177,88.15258249,89.86267156,101.7254725,103.6171364,0
149.26301,146.5305954,112.8740432,114.4992466,85.83798885,92.47561376,101.7761646,103.5399915,0
149.1622245,148.5107584,112.3184494,117.1170344,83.51831551,94.97440946,101.7999691,103.6445592,0
144.045287,143.9991453,109.6654196,114.7043091,83.10554937,95.54070658,101.869767,103.4640101,0
144.2788199,146.3442597,110.3974188,117.0757935,80.95633807,97.77818077,101.7205486,103.6236557,0
149.2609301,148.8530689,115.7999053,120.6899042,81.83760443,96.97827373,100.9239192,103.9116777,0
155.1175526,151.357184,125.4947349,124.9728414,85.19871442,93.66270375,99.6667661,104.1428144,0
